Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes
2024-09-15,,Série A,Matchweek 26,Sun,Away,,,,Red Bull Bragantino,,,,,,,,,Head-to-Head,
2024-09-22,,Série A,Matchweek 27,Sun,Home,,,,Flamengo,,,,,,,,,Head-to-Head,
2024-09-29,,Série A,Matchweek 28,Sun,Away,,,,Botafogo (RJ),,,,,,,,,Head-to-Head,
2024-10-05,,Série A,Matchweek 29,Sat,Home,,,,Fortaleza,,,,,,,,,Head-to-Head,
2024-10-20,,Série A,Matchweek 30,Sun,Away,,,,Internacional,,,,,,,,,Head-to-Head,
2024-10-26,,Série A,Matchweek 31,Sat,Home,,,,Atl Goianiense,,,,,,,,,Head-to-Head,
2024-11-06,,Série A,Matchweek 32,Wed,Away,,,,Fluminense,,,,,,,,,Head-to-Head,
2024-11-13,,Série A,Matchweek 33,Wed,Away,,,,Palmeiras,,,,,,,,,Head-to-Head,
2024-11-20,,Série A,Matchweek 34,Wed,Home,,,,Juventude,,,,,,,,,Head-to-Head,
2024-11-24,,Série A,Matchweek 35,Sun,Away,,,,Cruzeiro,,,,,,,,,Head-to-Head,
2024-12-01,,Série A,Matchweek 36,Sun,Home,,,,São Paulo,,,,,,,,,Head-to-Head,
2024-12-04,,Série A,Matchweek 37,Wed,Away,,,,Vitória,,,,,,,,,Head-to-Head,
2024-12-08,,Série A,Matchweek 38,Sun,Home,,,,Corinthians,,,,,,,,,Head-to-Head,
